Jobid	Jobname	URL	Location	Date	Company	Description
1	FullStack Developer (Remote)	https://pe.linkedin.com/jobs/view/fullstack-developer-remote-at-atom-3654674218?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=SdSZUgkWEv1SLw6s03ujfg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	1 week ago	Atom	"Atom Chat
es una plataforma SaaS B2B de Comercio Conversacional impulsada por inteligencia artificial que permite a las empresas maximizar sus ventas digitales al mismo tiempo que les permite integrar y mejorar radicalmente sus puntos de contacto con los clientes.
Descripción del puesto
Estamos buscando incorporar a nuestro equipo interno de desarrollo de Producto un
Desarrollador FullStack,
que será responsable del desarrollo de aplicaciones web utilizando Angular 14+ y la integración con un backend serverless mediante REST APIs (con Express JS). Además desarrollará microservicios utilizando Firebase Cloud Functions, así como la gestión e integración de bases de datos NoSQL mediante Firebase Firestore. También será responsable del versionado de código utilizando Git (Bitbucket) y de implementar prácticas de integración continua/distribución continua utilizando CI/CD Bitbucket-Google Cloud Build.
Responsabilidades
Desarrollar con éxito integraciones completas entre backend y frontend.
Desarrollo de software end to end atravesando todas las etapas de análisis, diseño, desarrollo, pruebas, despliegue y soporte.
Crear soluciones de software personalizadas utilizando tecnologías web
Crear soluciones innovadoras que agilicen los procesos tecnológicos
Mantener la infraestructura tecnológica y trabajar con el área de producto para implementar nuevas funciones y planificar estratégicamente las funcionalidades futuras
Garantizar la calidad y la seguridad basándose en estándares y buenas prácticas
Habilidades
Control de calidad: Pasión por desarrollar código de calidad.
Autodidacta: Aprendiz y trabajador rápido y eficiente
Creatividad: Resolución de problemas de principio a fin
Organizado: Capacidad para gestionar eficazmente múltiples tareas
Comunicación: Excelentes habilidades de comunicación verbal y escrita
Requerimientos
Profesional en ingeniería de sistemas o carreras afines
Más de 2 años de experiencia demostrable como full stack developer
Más de 1 año de experiencia demostrable en Angular 12+
Más de 1 año de experiencia demostrable en desarrollo con Typescript
Experiencia en desarrollo de aplicaciones web (Angular 12+, TypeScript, SASS)
Experiencia en el diseño de arquitecturas (Firebase Cloud Functions, REST APIs) y despliegue de servicios de infraestructura en la nube (NodeJS, Express)
Conocimiento en bases de datos NOSQL (Cloud FireStore)
Conocimiento y experiencia en CI/CD
Buen conocimiento en el desarrollo de SASS
Experiencia en uso de Git
Experiencia en metodologías ágiles Scrum
Beneficios
Relación laboral a largo plazo bajo modalidad de prestación de servicios.
Sueldo competitivo en USD.
20 días hábiles de vacaciones al año pagas.
Días festivos o feriados del país de residencia libres.
Reintegros por servicios de salud y bienestar.
Budget para capacitaciones y desarrollo de carrera.
Revisiones salariales por performance anuales.
Cultura centrada en las personas, donde apoyamos tus sueños personales!
La posición es 100% remota desde LATAM."
2	Full-Stack Developer	https://pe.linkedin.com/jobs/view/full-stack-developer-at-rivka-mx-3660105530?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=4lwbX8FU4JMMyR1GesczVQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	3 days ago	Rivka Development	"Please submit your resume in
ENGLISH
! We look forward to getting to know you soon :)
About Us:
Rivka is an IT Consultancy and Software Development company specializing in building World-Class applications for customers around the globe. We are a growing company, and we love challenges, making our clients smile, and creating projects that positively impact our community.
What will make you the best fit:
+3 years of proven experience as a Full-Stack Developer
Proficiency in MongoDB, Node.js, React, and React Native.
Strong knowledge of HTML, CSS, and JavaScript.
Proficiency in using Git and GitHub for version control and collaborative development
Excellent English skills (Advanced Level)
Experience with AWS (S3 - EC2) is considered a plus
Video transcoding knowledge is considered a plus
Strong problem-solving skills and excellent communication skills to work effectively in a fast-paced environment
A results-driven person with a growth-mindset orientation
What you will do:
Develop and maintain web applications from concept to deployment, ensuring high-quality code and optimal performance.
Collaborate with team members to continuously improve software development processes and best practices.
Work with the Project Manager to complete tasks and objectives on time.
What we offer:
Competitive salary paid in USD
Good working environment, plus the opportunity to be part of a dynamic team, learn new skills, and achieve all your professional goals
Work from home! (100% remote)
Location:
LATAM - Remote
Salary:
1000 USD per month, based on experience"
3	Programador / Desarrollador Fullstack Junior - Developer Fullstack	https://pe.linkedin.com/jobs/view/programador-desarrollador-fullstack-junior-developer-fullstack-at-trba-sac-3652751928?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=kJZgN2rK%2ByVOxASttnzxbA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card	Ate, Lima, Peru	1 week ago	TRBA SAC	"Somos una empresa del sector Industrial, nos encontramos en la búsqueda del mejor talento que ocupar el puesto de Desarrollador Fullstack - Developer Fullstack
Requisitos
Contar con dos años de experiencia en el puesto.
Angular 13.
Lenguaje de programación C#, .Net, .NetCore.
Base de datos: MySQL, SQL Server y MariaDB (deseable).
Desarrollo de API REST.
Disponibilidad para laboral de forma presencial.
Beneficios
Planilla completa y desde primer día.
Linea de carrera.
Agradable clima laboral.
¡Postula y se parte de esta gran familia!"
4	Programador Full Stack	https://pe.linkedin.com/jobs/view/programador-full-stack-at-ctic-3655254600?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=cMuMWX1JSDYkcBjVdOmTLg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	1 week ago	CTIC	"En CTIC nos encontramos en la búsqueda del mejor talento para cubrir el puesto de Programador Full Stack.
Conocimientos
Sólidos conocimiento en el desarrollo de Aplicaciones Web | ReactJS | Back-End .Net Core | SQL SERVER | API REST(Indispensable)
Altos conocimientos en Javascript, CSS3 y HTML5.
2 años a más de experiencia en desarrollo de aplicaciones Web usando ReactJS, Flux, Redux, Relay, etc
Experiencia en ES2015 (ES6 / ES7).
Maquetación con herramientas como Figma, Adobe XD
1 año a más de experiencia usando Asp.net core.
SQL Intermedio.
Experiencia usando sistemas de control de código GIT."
5	Backend Developer	https://pe.linkedin.com/jobs/view/backend-developer-at-soaint-3660587855?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=scLPEPYUaVkCsw01HgXqnw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Peru	4 hours ago	SOAINT	"En
Soaint
predomina la cultura del knowledge - transformation - evolution, a través de la cual apostamos por el desarrollo de conocimientos de nuestros talentos, dirigiendo esfuerzos hacia la transformación de procesos internos y de nuestros clientes para lograr la evolución de sus productos y áreas.
Por ello, nuestros equipos están conformados por personas dinámicas, que les guste proponer constantemente ideas y nuevas formas de trabajo, sin miedo de tomar la iniciativa y a actuar de manera autónoma. Queremos que tu objetivo sea el mismo que el nuestro: Generar un impacto positivo en el mundo a través de la tecnología 🌍
Actualmente nos encontramos en búsqueda de un
Backend Developer
, para que se sume al equipo Soainter.
📍Requisitos:
Bachiller de las carreras de Ingeniería de Sistemas o Ingeniería Informática o afines.
Experiencia mínima de 4 años como desarrollador y/o programador
Experiencia con Java y Spring Boot (microservicios)
Experiencia con SQL Server
Conocimiento de CRUD
Experiencia con .Net y C#
Experiencia con SonarQube
Tener conocimiento en metodologías ágiles
Conocimiento en arquitectura de software
Experiencia en API/Rest
📌
Deseable:
Experiencia previa con PHP. BPMS y Gestión de proyectos.
🚩
¿Qué te ofrecemos?
💰 Planilla completa desde el primer día.
🚑 EPS 100% Cubierta.
📚 Convenios con Instituciones para estudiar idiomas o cursos de tecnología.
📎 Plan de capacitaciones individuales a través de nuestro Coe Corporativo, con licencias e- learning a tu disposición y clases de ingles.
✨ Mediodía libre por cumpleaños
🚲 Actividades y eventos de Integración.
🚀Oportunidad de apoyar en proyectos internacionales.
¡Te esperamos!
En SOAINT no distinguimos por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Creemos en la igualdad de oportunidades en todos nuestros procesos y buscamos promover la inclusión e inserción laboral."
6	JAVA DEVELOPER	https://pe.linkedin.com/jobs/view/java-developer-at-dpc-asociados-3642137130?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=7NkzhfoNAZQs0%2BCI4D%2F29A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	2 weeks ago	DPC Asociados	"Requisitos
EXPERIENCIA PREVIA
5+ años de experiencia en el desarrollo de software
5+ años de experiencia con JAVA
Experiencia con base de datos SQL y NoSQL (MySQL / MongoDB)
Experiencia con AWS
Experiencia de las herramientas y procesos de desarrollo modernos (Git, Scrum, Jira)
Experiencia manejando grandes volúmenes de datos en un entorno web
CONOCIMIENTOS
Inglés conversacional B2+ (intermerdio alto o avanzado) SERÁ EVALUADO
Java
BD SQL / BD NoSQL
Git / Scrum / Jira
AWS
Fuerte conocimiento de la arquitectura de software modernas
Experiencia creando aplicaciones web completas, bien organizadas y probadas
Excelentes habilidades de presentación y comunicación verbal y escrita
Experiencia creando herramientas de informes rápidos se considera como un plus
Beneficios
¿Qué te ofrecemos?
Ingreso a planilla desde el primer día
EPS cubierta al 100% para ti y tu familia directa (espos@ e hij@s)
Te brindamos una laptop nueva con todo tu equipo y al primer año pasa a ser tuya
Una exposición temprana con nuestro equipo fundador y desempeñar un rol fundamental en el éxito del negocio
Trabajar de la mano con sus líderes y seguir creciendo profesionalmente con nosotros.
Flexibilidad y oportunidades de innovación.
Únase a nuestro equipo de rápido crecimiento de expertos en alimentos, datos y tecnología
¿Te gustan los retos?
¡Buscamos talentos como tú!
Nuestro cliente es líder impulsando los mejores resultados económicos para los interesados en el servicio de alimentos. Brindando el conjunto más completo de herramientas de compra en la industria, mediante un
dashboard basado en la web que además se conecta a bases externas que muestran las tendencias en tiempo real.
Creemos que cada colaborador es una pieza fundamental para el logro de los resultados, por lo cual fomentamos el desarrollo de nuestros talentos, potenciando tu capacidad resolutiva y de trabajo en equipo. Además, tendrás una participación activa en todo el flujo de nuestro proceso de la mano de un equipo exitoso que te escuchará y pondrá en acción tus ideas innovadoras."
7	Analista Programador Full Stack	https://pe.linkedin.com/jobs/view/analista-programador-full-stack-at-bigdavi-s-a-c-3660589049?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=S0u2b66jyFk8cOuA1t9ycg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Lima, Peru	1 day ago	BIGDAVI S.A.C.	"Empresa de Tecnología requiere cubrir la vacante de “ANALISTA PROGRAMADOR full stack"" que cumpla con el siguiente perfil:
Funciones
Desarrollo de la estructura y arquitectura web
Diseño de la interfaz HTML y CSS.
Manejar las librerías del servidor.
Automatizar tareas de desarrollo de software.
Optimizar las aplicaciones web.
Crear y gestionar bases de datos.
Configurar la seguridad y prevenir ataques.
Lenguajes y Herramientas
JavaScript, TypeScript, php.
Frameworks: Vue, Slim, Laravel
Herramientas: GITHUB, GIT, Postman
Basesde datos: Mysql, Postgresql"
8	Analista Desarrollador de Backend- San Isidro	https://pe.linkedin.com/jobs/view/analista-desarrollador-de-backend-san-isidro-at-los-portales-3636286869?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=oacDv9bGIAe%2F7KCnJUGpzA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card	San Isidro, Lima, Peru	3 weeks ago	Los Portales	"Los Portales, Empresa Con Más De 50 Años Liderando El Desarrollo De Negocios En El Sector Inmobiliario Para Las Familias Peruanas, Se Encuentra En La Búsqueda De Un (a)
ANALISTA DESAROLLADOR BACKEND
Funciones
Realizar análisis de soluciones tomando como base alguna arquitectura definida y apoyar en la definición de arquitecturas Cloud.
Apoyar en la Implementación de proyectos y requerimientos que involucren cambios en los sistemas y procesos
Realizar gestión sobre herramienta de DEVOPS
Apoyar en el seguimiento y resolución de Incidencias en los Sistemas achuare, On-Premise y Cloud
Manejar metodologías Agiles para el trabajo y creatividad en equipo
Requisitos
Experiencia de 2 años en microservicios y plataforma Azure (obligatorio)
Experiencia en Node.js, docker, diseño de APIs y C#.
Bachiller o Titulado de Ingeniería de Sistemas
Desarrollo de aplicaciones .Net y Base de Datos SQL Server y base de datos no Relacionales
Conocimiento en Frameworks de desarrollo (MVC, Net Core, Bootstrup y SPA)
Conocimiento en metodologías ágiles (deseable)
Experiencia en Lenguaje de Programación .Net (indispensable)
Se Ofrece
Ingreso a planilla desde el primer día con todos los beneficios de ley.
Remuneración acorde al mercado.
Capacitaciones en una empresa en constante crecimiento.
Buen clima laboral y objetivos retadores.
¡Únete a nuestro equipo y demuestra que tú también tienes la actitud portales!
Las ofertas de empleo y acceso a medios de formación educativa no podrán contener requisitos que constituyan discriminación, anulación o alteración de igualdad de oportunidades de trato.
Ley N° 26772"
9	Programador / Desarrollador Fullstack Jr. / TI / Presencial / ATE	https://pe.linkedin.com/jobs/view/programador-desarrollador-fullstack-jr-ti-presencial-ate-at-trba-sac-3645015617?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=jglvqQ2eMIG4aSpY8gfyhA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card	Ate, Lima, Peru	2 weeks ago	TRBA SAC	"Somos una empresa del sector Industrial, nos encontramos en la búsqueda del mejor talento que ocupar el puesto de Desarrollador Fullstack - Developer Fullstack
Requisitos
Contar con dos años de experiencia en el puesto.
Angular 13.
Lenguaje de programación C#, .Net, .NetCore.
Base de datos: MySQL, SQL Server y MariaDB (deseable).
Desarrollo de API REST.
Disponibilidad para laboral de forma presencial.
Beneficios
Planilla completa y desde primer día.
Linea de carrera.
Agradable clima laboral.
¡Postula y se parte de esta gran familia!"
10	Desarrollador Backend	https://pe.linkedin.com/jobs/view/desarrollador-backend-at-tata-consultancy-services-3646963940?refId=5%2FW9PIyaFoTMqh%2FLulXk2A%3D%3D&trackingId=D%2BPj9PHRcOJhbCsm3GvaKw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card	Lima, Peru	2 weeks ago	Tata Consultancy Services	"Tata Consultancy Services es una empresa de servicios de TI, consultoría y soluciones de negocios que se asocia con varias grandes empresas globales para acompañarlos en su trayectoria de transformación. TCS ofrece una cartera integrada enfocada en consultoría y basada en Cognitive de servicios TI, Servicios de Tecnología y Negocios, e ingeniería. Todo esto se ofrece por medio de su único modelo de entrega Ágil de ubicación independiente (Location Independent Agile), reconocido como el parámetro de excelencia en desarrollo de aplicaciones. Como parte del Grupo Tata, el conglomerado industrial más grande de la India, TCS posee más de 390,000 de los consultores mejor capacitados del mundo en 46 países. La empresa generó una facturación consolidada de $17.6 mil millones de dólares en el año fiscal que finalizó el 31 de marzo de 2017, y cotiza en la BSE (anteriormente la Bolsa de Valores de Bombay) y la NSE (Bolsa Nacional de Valores) de la India. Para mayor información, visítenos en www.tcs.com. TATA Consultancy Services (TCS) es un empleador que trabaja sobre la base a méritos y no solicita dinero a postulantes; ni utiliza agencia alguna para hacer ofertas en representación de TCS.
Puesto: Desarrollador Backend
Requisitos:
Experiencia de 3 años en Java.
Experiencia de 3 años en Node.js
Experiencia en Springboot.
Desarrollo orientado a microservicios.
Diseño, implementación y consumo de servicios Rest.
Conocimientos en Docker y Kubernetes
Experiencia con bases de datos relacionales (SQL Server, ORACLE)
Experiencia en Azure.
Ofrecemos:
• Remuneración competitiva en el mercado.
• Oportunidad de unirte y trabajar en una de las empresas más importantes en IT.
• Capacitación y entrenamiento en áreas de tecnologías de la información.
• Línea de carrera progresiva y a largo plazo a nivel local y global.
TATA Consultancy Services (TCS) es un empleador que trabaja en base a méritos y no solicita dinero a postulantes ni utiliza agencia alguna para hacer ofertas en representación de TCS."
